Brand,Domain,Contact_Category,Display_Phone,tel_link,Address_Or_Coverage_Label,Address_Or_Coverage_Text,Notes
DailyClean,dailyclean.com.au,dailyclean,+61 8 6189 4913,tel:+61861894913,Office,"Level 28, 140 St Georges Terrace, Perth WA 6000",Only brand with CBD office + this number on customer materials
PowerBath,powerbath.com.au,cleaning_fleet,(08) 6384 5466,tel:+61863845466,Service area,"Greater Perth, Western Australia — all suburbs (Yanchep to Mandurah).",No St Georges street address on public cleaning materials
Outreach Clean,outreachclean.com.au,cleaning_fleet,(08) 6384 5466,tel:+61863845466,Service area,"Greater Perth, Western Australia — all suburbs (Yanchep to Mandurah).",
DueClean,dueclean.com.au,cleaning_fleet,(08) 6384 5466,tel:+61863845466,Service area,"Greater Perth, Western Australia — all suburbs (Yanchep to Mandurah).",Until production: staging may show different number — align before go-live
Cleanse Group,cleansegroup.com.au,cleaning_fleet,(08) 6384 5466,tel:+61863845466,Service area,"Greater Perth, Western Australia — all suburbs (Yanchep to Mandurah).",
Solar Cleanse,solarcleanse.com.au,cleaning_fleet,(08) 6384 5466,tel:+61863845466,Service area,"Greater Perth, Western Australia — all suburbs (Yanchep to Mandurah).",
Gutters Cleanse,gutterscleanse.com.au,cleaning_fleet,(08) 6384 5466,tel:+61863845466,Service area,"Greater Perth, Western Australia — all suburbs (Yanchep to Mandurah).",
Daily Group,thedailygroup.com.au,corporate_hq,+61 8 6189 4913,tel:+61861894913,Office,"Level 28, 140 St Georges Terrace, Perth WA 6000",
Kaltos Group,kaltosgroup.com.au,corporate_hq,+61 8 6189 4913,tel:+61861894913,Office,"Level 28, 140 St Georges Terrace, Perth WA 6000",
Arkos Group,arkosgroup.com.au,corporate_hq,+61 8 6189 4913,tel:+61861894913,Office,"Level 28, 140 St Georges Terrace, Perth WA 6000",
Vantix Capital,vantixcapital.com.au,corporate_hq,+61 8 6189 4913,tel:+61861894913,Office,"Level 28, 140 St Georges Terrace, Perth WA 6000",
VATasker,vatasker.com,corporate_hq,+61 8 6189 4913,tel:+61861894913,Office,"Level 28, 140 St Georges Terrace, Perth WA 6000",
ScaleKorp,scalekorp.com,corporate_hq,+61 8 6189 4913,tel:+61861894913,Office,"Level 28, 140 St Georges Terrace, Perth WA 6000",Preview site may differ until reconciled
TradesBook,tradesbook.com.au,corporate_hq,+61 8 6189 4913,tel:+61861894913,Office,"Level 28, 140 St Georges Terrace, Perth WA 6000",
Saxum Works,saxumworks.com.au,cleaning_fleet,(08) 6384 5466,tel:+61863845466,Service area,"Greater Perth, Western Australia — all suburbs (Yanchep to Mandurah).",Same public line as Outreach Clean / fleet (per ops decision May 2026)
Kaltos Projects,kaltosprojects.com.au,corporate_hq,+61 8 6189 4913,tel:+61861894913,Office,"Level 28, 140 St Georges Terrace, Perth WA 6000",
DailyReset,dailyreset.com.au,corporate_hq,+61 8 6189 4913,tel:+61861894913,Office,"Level 28, 140 St Georges Terrace, Perth WA 6000",
Stratis Civil,stratiscivil.com.au,corporate_hq,+61 8 6189 4913,tel:+61861894913,Office,"Level 28, 140 St Georges Terrace, Perth WA 6000",If domain not live yet — still use matrix when publishing
Stratis Landscape,stratislandscape.com.au,corporate_hq,+61 8 6189 4913,tel:+61861894913,Office,"Level 28, 140 St Georges Terrace, Perth WA 6000",
Daily Fix,dailyfix.com.au,corporate_hq,+61 8 6189 4913,tel:+61861894913,Office,"Level 28, 140 St Georges Terrace, Perth WA 6000",Domain TBD / register
Telos Group,telosgroup.com.au,corporate_hq,+61 8 6189 4913,tel:+61861894913,Office,"Level 28, 140 St Georges Terrace, Perth WA 6000",Domain TBD / register
Eboost,eboost.com.au,corporate_hq,+61 8 6189 4913,tel:+61861894913,Office,"Level 28, 140 St Georges Terrace, Perth WA 6000",Future brand
Gesut,gesut.com.au,corporate_hq,+61 8 6189 4913,tel:+61861894913,Office,"Level 28, 140 St Georges Terrace, Perth WA 6000",Future brand
NicheBucket,nichebucket.com.au,corporate_hq,+61 8 6189 4913,tel:+61861894913,Office,"Level 28, 140 St Georges Terrace, Perth WA 6000",Future brand
