Workstream,Brand,Task_ID,Task,Priority,Owner,Status,Due_Date,Evidence_Link,Notes
operations,Outreach Clean,OR-01,Footer: A Kaltos Group company | Part of Daily Group,CRITICAL,TBD,TODO,,,
operations,Outreach Clean,OR-02,"Trust badges: $20M PL, police cleared, WA Heights",CRITICAL,TBD,TODO,,,
operations,Outreach Clean,OR-03,"Service pages: windows, high-level dusting, estate detail, flyscreen",CRITICAL,TBD,TODO,,,
operations,Outreach Clean,OR-04,Service area page (luxury suburbs),CRITICAL,TBD,TODO,,,
operations,Outreach Clean,OR-05,Primary phone prominent (match matrix),CRITICAL,TBD,TODO,,,
operations,Outreach Clean,OR-06,Contact / property assessment form → GHL,CRITICAL,TBD,TODO,,,
operations,Outreach Clean,OR-07,Before/after gallery ≥10 images,CRITICAL,TBD,TODO,,,
operations,Outreach Clean,OR-08,Instagram Business + 10 posts scheduled,CRITICAL,TBD,TODO,,,
operations,Outreach Clean,OR-09,LinkedIn Company minimal,CRITICAL,TBD,TODO,,,
operations,Outreach Clean,OR-10,Google Business Profile select suburbs,HIGH,TBD,TODO,,,
operations,Outreach Clean,OR-11,Review request automation,HIGH,TBD,TODO,,,
operations,Outreach Clean,OR-12,Property Presentation Assessment template,MEDIUM,TBD,TODO,,,
operations,Outreach Clean,OR-13,Digital condition report template,MEDIUM,TBD,TODO,,,
social-gbp,Outreach Clean,SOC-06,LinkedIn/IG/FB as per matrix: profile + cover + bio live,HIGH,TBD,TODO,,,
