Workstream,Brand,Task_ID,Task,Priority,Owner,Status,Due_Date,Evidence_Link,Notes
cleanse,Solar Cleanse,SC-01,Footer: A Cleanse Group company | Part of Kaltos Group | Daily Group,CRITICAL,TBD,TODO,,,
cleanse,Solar Cleanse,SC-02,"Trust badges: $20M PL, WA Heights, 0-TDS deionised",CRITICAL,TBD,TODO,,,
cleanse,Solar Cleanse,SC-03,"Service pages: residential, commercial fleet, bird-proofing, health checks",CRITICAL,TBD,TODO,,,
cleanse,Solar Cleanse,SC-04,0-TDS / hard water educational content,CRITICAL,TBD,TODO,,,
cleanse,Solar Cleanse,SC-05,Before/after performance gallery ≥10,CRITICAL,TBD,TODO,,,
cleanse,Solar Cleanse,SC-06,Primary phone prominent (match matrix),CRITICAL,TBD,TODO,,,
cleanse,Solar Cleanse,SC-07,Contact / asset assessment form → GHL,CRITICAL,TBD,TODO,,,
cleanse,Solar Cleanse,SC-08,Why Deionized Water page,CRITICAL,TBD,TODO,,,
cleanse,Solar Cleanse,SC-09,LinkedIn + 5 posts scheduled,CRITICAL,TBD,TODO,,,
cleanse,Solar Cleanse,SC-10,Google Business Profile optimised,HIGH,TBD,TODO,,,
cleanse,Solar Cleanse,SC-11,Review request automation,HIGH,TBD,TODO,,,
cleanse,Solar Cleanse,SC-12,Solar Performance & Condition Report template PDF,MEDIUM,TBD,TODO,,,
cleanse,Solar Cleanse,SC-13,Bird-proofing add-on pricing guide,MEDIUM,TBD,TODO,,,
social-gbp,Solar Cleanse,SOC-09,LinkedIn/IG/FB as per matrix: profile + cover + bio live,HIGH,TBD,TODO,,,
