Workstream,Brand,Task_ID,Task,Priority,Owner,Status,Due_Date,Evidence_Link,Notes
cleanse,Gutters Cleanse,GC-01,Footer: A Cleanse Group company | Part of Kaltos Group | Daily Group,CRITICAL,TBD,TODO,,,
cleanse,Gutters Cleanse,GC-02,"Trust badges: $20M PL, WA Heights, industrial vacuum",CRITICAL,TBD,TODO,,,
cleanse,Gutters Cleanse,GC-03,"Service tiers: maintenance, infrastructure, restoration documented",CRITICAL,TBD,TODO,,,
cleanse,Gutters Cleanse,GC-04,BAL-rated gutter guards explained,CRITICAL,TBD,TODO,,,
cleanse,Gutters Cleanse,GC-05,Before/after gallery ≥10,CRITICAL,TBD,TODO,,,
cleanse,Gutters Cleanse,GC-06,Primary phone prominent (match matrix),CRITICAL,TBD,TODO,,,
cleanse,Gutters Cleanse,GC-07,Contact / site assessment form → GHL,CRITICAL,TBD,TODO,,,
cleanse,Gutters Cleanse,GC-08,LinkedIn + 5 posts scheduled,CRITICAL,TBD,TODO,,,
cleanse,Gutters Cleanse,GC-09,Google Business Profile optimised,HIGH,TBD,TODO,,,
cleanse,Gutters Cleanse,GC-10,Review request automation,HIGH,TBD,TODO,,,
cleanse,Gutters Cleanse,GC-11,Gutter & Drainage Condition Audit template PDF,MEDIUM,TBD,TODO,,,
cleanse,Gutters Cleanse,GC-12,Gutter guard vs plastic mesh comparison page,MEDIUM,TBD,TODO,,,
cleanse,Gutters Cleanse,GC-13,Seasonal urgency messaging (fire/storm),MEDIUM,TBD,TODO,,,
social-gbp,Gutters Cleanse,SOC-10,LinkedIn/IG/FB as per matrix: profile + cover + bio live,HIGH,TBD,TODO,,,
