Workstream,Brand,Task_ID,Task,Priority,Owner,Status,Due_Date,Evidence_Link,Notes
operations,DailyClean,DC-01,Client logos displayed with documented permission,CRITICAL,TBD,TODO,,,
operations,DailyClean,DC-02,Minimum 3 case studies with measurable outcomes,CRITICAL,TBD,TODO,,,
operations,DailyClean,DC-03,"Trust badges: $20M PL, WA Heights, police cleared",CRITICAL,TBD,TODO,,,
operations,DailyClean,DC-04,Footer: A Kaltos Group company | Part of Daily Group,CRITICAL,TBD,TODO,,,
operations,DailyClean,DC-05,Primary phone prominent all pages (match matrix),CRITICAL,TBD,TODO,,,
operations,DailyClean,DC-06,Asset Assessment form → GHL working,CRITICAL,TBD,TODO,,,
operations,DailyClean,DC-07,Before/after gallery ≥10 real images (not stock),CRITICAL,TBD,TODO,,,
operations,DailyClean,DC-08,AS 1851-2012 compliance certification visible (if claimed),CRITICAL,TBD,TODO,,,
operations,DailyClean,DC-09,"Our Process page (checklist, QA, reporting)",CRITICAL,TBD,TODO,,,
operations,DailyClean,DC-10,Quality Assurance page,CRITICAL,TBD,TODO,,,
operations,DailyClean,DC-11,Safety & Compliance page,CRITICAL,TBD,TODO,,,
operations,DailyClean,DC-12,Industries We Serve page,CRITICAL,TBD,TODO,,,
operations,DailyClean,DC-13,Team uniforms navy/silver consistent,CRITICAL,TBD,TODO,,,
operations,DailyClean,DC-14,LinkedIn + 10 posts scheduled,CRITICAL,TBD,TODO,,,
operations,DailyClean,DC-15,Google Business Profile fully optimised,HIGH,TBD,TODO,,,
operations,DailyClean,DC-16,Review request automation configured,HIGH,TBD,TODO,,,
operations,DailyClean,DC-17,First 20 reviews target plan,HIGH,TBD,TODO,,,
operations,DailyClean,DC-18,Service-area SEO Yanchep to Mandurah,HIGH,TBD,TODO,,,
operations,DailyClean,DC-19,Commercial capability statement PDF,HIGH,TBD,TODO,,,
operations,DailyClean,DC-20,Residential brochure PDF,HIGH,TBD,TODO,,,
operations,DailyClean,DC-21,Vehicle branding all fleet,HIGH,TBD,TODO,,,
operations,DailyClean,DC-22,Daily Performance Report template (digital),MEDIUM,TBD,TODO,,,
operations,DailyClean,DC-23,Certificate of Currency downloadable,MEDIUM,TBD,TODO,,,
social-gbp,DailyClean,SOC-04,LinkedIn/IG/FB as per matrix: profile + cover + bio live,HIGH,TBD,TODO,,,
