Workstream,Brand,Task_ID,Task,Priority,Owner,Status,Due_Date,Evidence_Link,Notes
operations,DueClean,DU-01,Footer: A Kaltos Group company | Part of Daily Group,CRITICAL,TBD,TODO,,,
operations,DueClean,DU-02,"Trust badges: $20M PL, police cleared",CRITICAL,TBD,TODO,,,
operations,DueClean,DU-03,Subscription tiers explained (Residential/Commercial/Builder Guardian),CRITICAL,TBD,TODO,,,
operations,DueClean,DU-04,Discovery Audit process explained,CRITICAL,TBD,TODO,,,
operations,DueClean,DU-05,Asset Health Portal preview / mockup,CRITICAL,TBD,TODO,,,
operations,DueClean,DU-06,Primary phone prominent (match matrix),CRITICAL,TBD,TODO,,,
operations,DueClean,DU-07,Contact / Discovery Audit form → GHL,CRITICAL,TBD,TODO,,,
operations,DueClean,DU-08,What's included per tier + deep/annual cycles,CRITICAL,TBD,TODO,,,
operations,DueClean,DU-09,"Optional add-ons listed (bins, garden, laundry, etc.)",CRITICAL,TBD,TODO,,,
operations,DueClean,DU-10,Plain English cadence explanation,CRITICAL,TBD,TODO,,,
operations,DueClean,DU-11,LinkedIn + 5 posts scheduled,CRITICAL,TBD,TODO,,,
operations,DueClean,DU-12,Google Business Profile optimised,HIGH,TBD,TODO,,,
operations,DueClean,DU-13,Review request automation,HIGH,TBD,TODO,,,
operations,DueClean,DU-14,Welcome Kit PDF new subscribers,MEDIUM,TBD,TODO,,,
operations,DueClean,DU-15,Asset Health Portal onboarding guide,MEDIUM,TBD,TODO,,,
social-gbp,DueClean,SOC-07,LinkedIn/IG/FB as per matrix: profile + cover + bio live,HIGH,TBD,TODO,,,
