Workstream,Brand,Task_ID,Task,Priority,Owner,Status,Due_Date,Evidence_Link,Notes
operations,Saxum Works,SX-01,Footer: A Kaltos Group company | Part of Daily Group,CRITICAL,TBD,TODO,,,
operations,Saxum Works,SX-02,"Trust badges: $20M PL, licensed & insured, police cleared",CRITICAL,TBD,TODO,,,
operations,Saxum Works,SX-03,"Service pages: brick/block, limestone, rendering, outdoor masonry",CRITICAL,TBD,TODO,,,
operations,Saxum Works,SX-04,For Builders dedicated page,CRITICAL,TBD,TODO,,,
operations,Saxum Works,SX-05,For Homeowners dedicated page,CRITICAL,TBD,TODO,,,
operations,Saxum Works,SX-06,Primary phone prominent (match matrix),CRITICAL,TBD,TODO,,,
operations,Saxum Works,SX-07,Contact / site consultation form → GHL,CRITICAL,TBD,TODO,,,
operations,Saxum Works,SX-08,Before/after gallery ≥10 images,CRITICAL,TBD,TODO,,,
operations,Saxum Works,SX-09,LinkedIn + 5 posts scheduled,CRITICAL,TBD,TODO,,,
operations,Saxum Works,SX-10,Google Business Profile optimised,HIGH,TBD,TODO,,,
operations,Saxum Works,SX-11,Review request automation,HIGH,TBD,TODO,,,
operations,Saxum Works,SX-12,Capability statement PDF for builders,MEDIUM,TBD,TODO,,,
social-gbp,Saxum Works,SOC-14,LinkedIn/IG/FB as per matrix: profile + cover + bio live,HIGH,TBD,TODO,,,
