Workstream,Brand,Task_ID,Task,Priority,Owner,Status,Due_Date,Evidence_Link,Notes
digital,VATasker,VT-01,Footer: An Arkos Group company | Part of Daily Group,CRITICAL,TBD,TODO,,,
digital,VATasker,VT-02,"Trust badges: pre-vetted talent, 30-day replacement",CRITICAL,TBD,TODO,,,
digital,VATasker,VT-03,"Service categories: admin, sales, ops, CS, social, bookkeeping VA",CRITICAL,TBD,TODO,,,
digital,VATasker,VT-04,How We Recruit / Vetting Manifesto page,CRITICAL,TBD,TODO,,,
digital,VATasker,VT-05,Training Standards page,CRITICAL,TBD,TODO,,,
digital,VATasker,VT-06,"Security & Confidentiality page (NDA, data, access)",CRITICAL,TBD,TODO,,,
digital,VATasker,VT-07,Client intake form → GHL,CRITICAL,TBD,TODO,,,
digital,VATasker,VT-08,VA talent pool application form,CRITICAL,TBD,TODO,,,
digital,VATasker,VT-09,Primary phone prominent (match matrix),CRITICAL,TBD,TODO,,,
digital,VATasker,VT-10,Pricing tiers — ranges only,CRITICAL,TBD,TODO,,,
digital,VATasker,VT-11,Remove cheap VA language; institutional positioning,CRITICAL,TBD,TODO,,,
digital,VATasker,VT-12,LinkedIn + 10 thought leadership posts scheduled,CRITICAL,TBD,TODO,,,
digital,VATasker,VT-13,Google Business Profile optimised,HIGH,TBD,TODO,,,
digital,VATasker,VT-14,Review request automation,HIGH,TBD,TODO,,,
digital,VATasker,VT-15,Employee Handbook PDF per VA placed,HIGH,TBD,TODO,,,
digital,VATasker,VT-16,Client Portal mockup / branded dashboard,HIGH,TBD,TODO,,,
digital,VATasker,VT-17,Discovery questionnaire,MEDIUM,TBD,TODO,,,
digital,VATasker,VT-18,Client onboarding SOP,MEDIUM,TBD,TODO,,,
digital,VATasker,VT-19,Role matching framework,MEDIUM,TBD,TODO,,,
digital,VATasker,VT-20,30-day onboarding plan,MEDIUM,TBD,TODO,,,
digital,VATasker,VT-21,"Reporting templates (KPIs, hours, tasks)",MEDIUM,TBD,TODO,,,
social-gbp,VATasker,SOC-11,LinkedIn/IG/FB as per matrix: profile + cover + bio live,HIGH,TBD,TODO,,,
