Workstream,Brand,Task_ID,Task,Priority,Owner,Status,Due_Date,Evidence_Link,Notes
operations,PowerBath,PB-01,Footer: A Kaltos Group company | Part of Daily Group,CRITICAL,TBD,TODO,,,
operations,PowerBath,PB-02,"Trust badges: $20M PL, police cleared, environmental compliance",CRITICAL,TBD,TODO,,,
operations,PowerBath,PB-03,Before/after gallery ≥10 images,CRITICAL,TBD,TODO,,,
operations,PowerBath,PB-04,"Service pages: commercial/industrial, residential, graffiti, sealing",CRITICAL,TBD,TODO,,,
operations,PowerBath,PB-05,Primary phone prominent (match matrix),CRITICAL,TBD,TODO,,,
operations,PowerBath,PB-06,Contact / site assessment form → GHL,CRITICAL,TBD,TODO,,,
operations,PowerBath,PB-07,LinkedIn + 5 posts scheduled,CRITICAL,TBD,TODO,,,
operations,PowerBath,PB-08,Google Business Profile optimised,HIGH,TBD,TODO,,,
operations,PowerBath,PB-09,Review request automation,HIGH,TBD,TODO,,,
operations,PowerBath,PB-10,Capability statement PDF commercial,HIGH,TBD,TODO,,,
operations,PowerBath,PB-11,Before/after video walkthrough,MEDIUM,TBD,TODO,,,
operations,PowerBath,PB-12,Certificate of Currency downloadable,MEDIUM,TBD,TODO,,,
social-gbp,PowerBath,SOC-05,LinkedIn/IG/FB as per matrix: profile + cover + bio live,HIGH,TBD,TODO,,,
