Brand,Channel,Expected_Display_Phone,Expected_Address_Or_Coverage,Owner,Status,Actual_Found,Evidence_Link_Notes
DailyClean,Website homepage / hero / sticky header,+61 8 6189 4913,Office line as matrix,,TODO,,
DailyClean,Website contact page,+61 8 6189 4913,Office line as matrix,,TODO,,
DailyClean,Website footer,+61 8 6189 4913,Office line as matrix,,TODO,,
DailyClean,Google Business Profile primary phone,+61 8 6189 4913,Match GBP address policy,,TODO,,
DailyClean,Social bios / posts CTA,+61 8 6189 4913,Consistent with site,,TODO,,
DailyClean,Email signatures (Zoho),+61 8 6189 4913,Use email-signatures\dailyclean\signature.html,,TODO,,
DailyClean,Printed PDFs / capability docs,+61 8 6189 4913,Office line,,TODO,,
DailyClean,IVR / call flows,+61 8 6189 4913,If dedicated line differs document mapping,,TODO,,
PowerBath,Website all customer touchpoints,(08) 6384 5466,Service area line only (no St Georges),,TODO,,
PowerBath,Google Business Profile,(08) 6384 5466,Service area in description if allowed,,TODO,,
PowerBath,Email signatures,(08) 6384 5466,email-signatures\powerbath,,TODO,,
Outreach Clean,Website all customer touchpoints,(08) 6384 5466,Service area line only,,TODO,,
Outreach Clean,Instagram primary + GBP,(08) 6384 5466,Instagram is primary per checklist,,TODO,,
Outreach Clean,Email signatures,(08) 6384 5466,email-signatures\outreach-clean,,TODO,,
DueClean,Production website,(08) 6384 5466,Service area line only,,TODO,,
DueClean,Hostinger preview site,(08) 6384 5466,Align preview with matrix before sharing,,TODO,,
Cleanse Group,Website,(08) 6384 5466,Service area line only,,TODO,,
Solar Cleanse,Website + GBP,(08) 6384 5466,Service area line only,,TODO,,
Gutters Cleanse,Website + GBP,(08) 6384 5466,Service area line only,,TODO,,
Daily Group,Website + GBP,+61 8 6189 4913,Office line,,TODO,,
Kaltos Group,Website + GBP,+61 8 6189 4913,Office line,,TODO,,
Arkos Group,Website + GBP,+61 8 6189 4913,Office line,,TODO,,
Vantix Capital,Website + GBP,+61 8 6189 4913,Office line,,TODO,,
VATasker,Website + GBP,+61 8 6189 4913,Office line,,TODO,,
ScaleKorp,Production + preview,+61 8 6189 4913,Office line,,TODO,,
TradesBook,Website,+61 8 6189 4913,Office line,,TODO,,
Saxum Works,Website all customer touchpoints,(08) 6384 5466,Service area line only (no St Georges),,TODO,,
Saxum Works,Google Business Profile,(08) 6384 5466,Service area in description if allowed,,TODO,,
Saxum Works,Email signatures,(08) 6384 5466,email-signatures\saxum-works (regenerate build_signatures.py),,TODO,,
Kaltos Projects,Website,+61 8 6189 4913,Office line,,TODO,,
DailyReset,Website,+61 8 6189 4913,Office line,,TODO,,
MASTER,Internal checklist PDF / Notion,(see matrix),Replace any old (08) 6189 where it should be 6384 or 6189 per category,,TODO,,
