Workstream,Brand,Task_ID,Task,Priority,Owner,Status,Due_Date,Evidence_Link,Notes
universal,ALL,U-LEG-01,Terms & Conditions published on every website,CRITICAL,TBD,TODO,,,
universal,ALL,U-LEG-02,Privacy Policy published on every website,CRITICAL,TBD,TODO,,,
universal,ALL,U-LEG-03,Cookies Policy published on every website,CRITICAL,TBD,TODO,,,
universal,ALL,U-LEG-04,Service agreements drafted for every brand (where applicable),CRITICAL,TBD,TODO,,,
universal,ALL,U-LEG-05,Cancellation policy published (where applicable),HIGH,TBD,TODO,,,
universal,ALL,U-LEG-06,ABN displayed in footer of every website,CRITICAL,TBD,TODO,,,
universal,ALL,U-LEG-07,"Professional email signatures (logo, disclaimer; ABN if required) all team",HIGH,TBD,TODO,,,
universal,ALL,U-LEG-08,M&A disclaimer (not licensed broker) on ScaleKorp,CRITICAL,TBD,TODO,,,
universal,ALL,U-TRU-01,$20M PL insurance certificate downloadable per relevant brand,HIGH,TBD,TODO,,,
universal,ALL,U-TRU-02,Police cleared / insured verification graphics on each website,HIGH,TBD,TODO,,,
universal,ALL,U-TRU-03,"WA Heights certified badge where applicable (DailyClean, Solar, Gutters)",HIGH,TBD,TODO,,,
universal,ALL,U-TRU-04,"Professional photography (team, ops, equipment, dashboards) all brands",HIGH,TBD,TODO,,,
universal,ALL,U-TRU-05,Branded uniforms consistent per brand,HIGH,TBD,TODO,,,
universal,ALL,U-TRU-06,Capability statement PDF per brand,HIGH,TBD,TODO,,,
universal,ALL,U-TRU-07,Service brochure PDF per brand,HIGH,TBD,TODO,,,
universal,ALL,U-TRU-08,Parent watermark / line on materials (Part of Daily Group etc.),HIGH,TBD,TODO,,,
universal,ALL,U-TEC-01,SSL (HTTPS) active all domains,CRITICAL,TBD,TODO,,,
universal,ALL,U-TEC-02,Google Analytics 4 installed all websites,HIGH,TBD,TODO,,,
universal,ALL,U-TEC-03,Google Search Console verified all domains,HIGH,TBD,TODO,,,
universal,ALL,U-TEC-04,Uptime monitoring active all domains,MEDIUM,TBD,TODO,,,
universal,ALL,U-TEC-05,Hosting backup redundancy confirmed all domains,HIGH,TBD,TODO,,,
universal,ALL,U-TEC-06,Zoho Mail (or chosen) professional email all domains,CRITICAL,TBD,TODO,,,
universal,ALL,U-TEC-07,No consumer Gmail for brand-facing comms,CRITICAL,TBD,TODO,,,
universal,ALL,U-TEC-08,Remove default mobile signature (Sent from my iPhone) on brand devices,LOW,TBD,TODO,,,
universal,ALL,U-COM-01,Dedicated phone routing / IVR (or documented interim),HIGH,TBD,TODO,,,
universal,ALL,U-COM-02,Professional voicemail scripts per brand,HIGH,TBD,TODO,,,
universal,ALL,U-COM-03,Auto-response emails for each contact form,HIGH,TBD,TODO,,,
universal,ALL,U-COM-04,CRM pipelines (GoHighLevel) per brand,HIGH,TBD,TODO,,,
universal,ALL,U-COM-05,Lead response SLA documented (max 24h),HIGH,TBD,TODO,,,
universal,ALL,U-COM-06,Lead SLA tested with dummy submission every brand,CRITICAL,TBD,TODO,,,
universal,ALL,U-COM-07,"Crisis response protocol (complaints, reviews, outage)",HIGH,TBD,TODO,,,
universal,ALL,U-TST-01,Test every phone on every website,CRITICAL,TBD,TODO,,,
universal,ALL,U-TST-02,Test every phone on Google Business Profile,CRITICAL,TBD,TODO,,,
universal,ALL,U-TST-03,Test every phone on social profiles,HIGH,TBD,TODO,,,
universal,ALL,U-TST-04,Test every contact form → GHL → notification,CRITICAL,TBD,TODO,,,
universal,ALL,U-TST-05,"Test key mailboxes (admin@, support@, etc.)",CRITICAL,TBD,TODO,,,
universal,ALL,U-TST-06,Verify all automated responses,HIGH,TBD,TODO,,,
universal,ALL,U-AI-01,AI production routing adopted (Claude: web/forms/HTML vs Genspark: PDFs/print/visuals),HIGH,TBD,TODO,,,
universal,ALL,U-AI-02,Per-brand AI applicability matrix reviewed and owners assigned,HIGH,TBD,TODO,,,
universal,ALL,U-AI-03,Master case study HTML template (Claude) with brand token slots for reuse,MEDIUM,TBD,TODO,,,
universal,ALL,U-AI-04,Master newsletter HTML template (Claude) with brand token slots,LOW,TBD,TODO,,,
cross-brand,ALL,X-01,Same footer structure pattern across all live sites,HIGH,TBD,TODO,,,
cross-brand,ALL,X-02,Similar typography tokens across sites,HIGH,TBD,TODO,,,
cross-brand,ALL,X-03,Consistent naming logic (Daily / Cleanse / Kaltos / Arkos),MEDIUM,TBD,TODO,,,
cross-brand,ALL,X-04,Parent reference on every brand footer,CRITICAL,TBD,TODO,,,
cross-brand,ALL,X-05,Daily Group site complete with ecosystem diagram,CRITICAL,TBD,TODO,,,
cross-brand,ALL,X-06,LinkedIn company pages cross-linked where appropriate,MEDIUM,TBD,TODO,,,
cross-brand,ALL,X-07,All GBP verified and optimised,HIGH,TBD,TODO,,,
cross-brand,ALL,X-08,Google Alerts for all brand names,LOW,TBD,TODO,,,
launch-week,ALL,LW-01,Day -21 to -14: parent brands critical tasks + phone tests,CRITICAL,TBD,TODO,,,
launch-week,ALL,LW-02,Day -14 to -7: operations brands critical + form tests,CRITICAL,TBD,TODO,,,
launch-week,ALL,LW-03,Day -7 to -3: Cleanse + Saxum + digital brands critical,CRITICAL,TBD,TODO,,,
launch-week,ALL,LW-04,Day -5: legal review complete all brands,CRITICAL,TBD,TODO,,,
launch-week,ALL,LW-05,Day -3: LinkedIn first posts + team training,HIGH,TBD,TODO,,,
launch-week,ALL,LW-06,Day -2: GBP optimised + SLA live test,HIGH,TBD,TODO,,,
launch-week,ALL,LW-07,Day -1: internal announcement + site walkthrough,HIGH,TBD,TODO,,,
launch-week,ALL,LW-08,Day 0: ecosystem launch post all channels,CRITICAL,TBD,TODO,,,
launch-week,ALL,LW-09,Day +1: email database (DailyClean-only if that remains policy),HIGH,TBD,TODO,,,
emergency,ALL,EM-01,Hosting emergency contact list all domains,CRITICAL,TBD,TODO,,,
emergency,ALL,EM-02,Developer on-call documented,HIGH,TBD,TODO,,,
emergency,ALL,EM-03,Crisis response script final,HIGH,TBD,TODO,,,
emergency,ALL,EM-04,Backup Google Form per brand,HIGH,TBD,TODO,,,
emergency,ALL,EM-05,Phone forwarding fallback if IVR fails,HIGH,TBD,TODO,,,
post-launch,ALL,PL-01,30-day: lead response time vs target,HIGH,TBD,TODO,,,
post-launch,ALL,PL-02,30-day: form conversion rate,HIGH,TBD,TODO,,,
post-launch,ALL,PL-03,30-day: discovery call bookings (ScaleKorp/VATasker),HIGH,TBD,TODO,,,
post-launch,ALL,PL-04,30-day: asset assessment requests (DailyClean),HIGH,TBD,TODO,,,
post-launch,ALL,PL-05,30-day: GBP views trend,MEDIUM,TBD,TODO,,,
post-launch,ALL,PL-06,30-day: LinkedIn engagement trend,MEDIUM,TBD,TODO,,,
post-launch,ALL,PL-07,30-day: combined web traffic vs target,HIGH,TBD,TODO,,,
post-launch,ALL,PL-08,30-day: first 20 reviews progress service brands,HIGH,TBD,TODO,,,
growth-outreach,ALL,GO-01,Post-launch growth pack adopted (folder 22 + templates/outreach-cold-email),HIGH,TBD,TODO,,,
growth-outreach,ALL,GO-02,Sending domain: SPF + DKIM + DMARC verified (every brand domain that sends mail),CRITICAL,TBD,TODO,,,
growth-outreach,ALL,GO-03,Marketing footer: unsubscribe + business identification on all bulk sends,CRITICAL,TBD,TODO,,,
growth-outreach,ALL,GO-04,Suppression workflow live (GHL + export backup),HIGH,TBD,TODO,,,
growth-outreach,ALL,GO-05,"ICP one-pager completed per B2B outbound brand (ScaleKorp, VATasker, TradesBook, Vantix)",HIGH,TBD,TODO,,,
growth-outreach,ALL,GO-06,Cold email sequence v1 drafted + commercial/legal review,MEDIUM,TBD,TODO,,,
growth-outreach,ALL,GO-07,LinkedIn outbound SOP (connect note + DM) aligned with email narrative,MEDIUM,TBD,TODO,,,
growth-outreach,ALL,GO-08,"Weekly outbound metrics dashboard (sends, replies, meetings) by brand",MEDIUM,TBD,TODO,,,
growth-outreach,ALL,GO-09,"Service brands: local growth plan (GBP, referrals, partnerships) — not consumer cold lists",HIGH,TBD,TODO,,,
growth-outreach,ALL,GO-10,Nurture track for inbound opt-ins (welcome + 3-value emails) per major brand,MEDIUM,TBD,TODO,,,
