Workstream,Brand,Task_ID,Task,Priority,Owner,Status,Due_Date,Evidence_Link,Notes
digital,ScaleKorp,SK-01,Footer: An Arkos Group company | Part of Daily Group,CRITICAL,TBD,TODO,,,
digital,ScaleKorp,SK-02,M&A disclaimer prominent (not licensed broker),CRITICAL,TBD,TODO,,,
digital,ScaleKorp,SK-03,5-Tier model explained with visuals,CRITICAL,TBD,TODO,,,
digital,ScaleKorp,SK-04,Scale Framework / 5-Pillar diagram,CRITICAL,TBD,TODO,,,
digital,ScaleKorp,SK-05,Minimum 3 case studies (anonymised OK),CRITICAL,TBD,TODO,,,
digital,ScaleKorp,SK-06,"For Whom section (trades, cleaning, FM, etc.)",CRITICAL,TBD,TODO,,,
digital,ScaleKorp,SK-07,Discovery call calendar (Calendly/GHL),CRITICAL,TBD,TODO,,,
digital,ScaleKorp,SK-08,Primary phone prominent (match matrix),CRITICAL,TBD,TODO,,,
digital,ScaleKorp,SK-09,Contact / discovery form → GHL,CRITICAL,TBD,TODO,,,
digital,ScaleKorp,SK-10,Our Backing section (Arkos → Kaltos → Daily),CRITICAL,TBD,TODO,,,
digital,ScaleKorp,SK-11,LinkedIn + 10 thought leadership posts scheduled,CRITICAL,TBD,TODO,,,
digital,ScaleKorp,SK-12,ROI calculator tool,HIGH,TBD,TODO,,,
digital,ScaleKorp,SK-13,Strategic partner network listed,HIGH,TBD,TODO,,,
digital,ScaleKorp,SK-14,Minimum 3 whitepapers / industry guides,HIGH,TBD,TODO,,,
digital,ScaleKorp,SK-15,Methodology naming legal check (ScaleOS etc.),HIGH,TBD,TODO,,,
digital,ScaleKorp,SK-16,Executive Summary template PDF,MEDIUM,TBD,TODO,,,
digital,ScaleKorp,SK-17,Discovery framework documented,MEDIUM,TBD,TODO,,,
digital,ScaleKorp,SK-18,Qualification criteria,MEDIUM,TBD,TODO,,,
digital,ScaleKorp,SK-19,Strategic assessment process,MEDIUM,TBD,TODO,,,
digital,ScaleKorp,SK-20,Audit process documentation,MEDIUM,TBD,TODO,,,
digital,ScaleKorp,SK-21,Quarterly business review structure,MEDIUM,TBD,TODO,,,
social-gbp,ScaleKorp,SOC-12,LinkedIn/IG/FB as per matrix: profile + cover + bio live,HIGH,TBD,TODO,,,
